income,life expectancy,population size,region
603,28.2,3280000,Asia
603,28.2,3280000,Asia
603,28.2,3280000,Asia
603,28.2,3280000,Asia
603,28.2,3280000,Asia
603,28.2,3280000,Asia
603,28.1,3280000,Asia
603,28.1,3280000,Asia
603,28.1,3280000,Asia
603,28.1,3280000,Asia
604,28.1,3280000,Asia
604,28.1,3280000,Asia
604,28.1,3280000,Asia
604,28.1,3280000,Asia
604,28.1,3290000,Asia
604,28.1,3290000,Asia
604,28.1,3300000,Asia
604,28,3300000,Asia
604,28,3310000,Asia
604,28,3320000,Asia
604,28,3320000,Asia
607,28,3330000,Asia
609,28,3340000,Asia
611,28,3350000,Asia
613,28,3360000,Asia
615,27.9,3380000,Asia
617,27.9,3390000,Asia
619,27.9,3400000,Asia
621,27.9,3420000,Asia
623,27.9,3430000,Asia
625,27.9,3450000,Asia
627,27.9,3470000,Asia
630,27.9,3480000,Asia
632,27.9,3500000,Asia
634,27.9,3520000,Asia
636,27.9,3540000,Asia
638,27.8,3550000,Asia
640,27.8,3570000,Asia
643,27.8,3590000,Asia
645,27.8,3610000,Asia
647,27.8,3630000,Asia
649,27.8,3640000,Asia
651,27.8,3660000,Asia
654,27.8,3680000,Asia
656,27.8,3700000,Asia
658,27.8,3720000,Asia
660,27.7,3730000,Asia
663,27.7,3750000,Asia
665,27.7,3770000,Asia
667,27.7,3790000,Asia
669,27.7,3810000,Asia
672,27.7,3830000,Asia
674,27.7,3840000,Asia
676,27.7,3860000,Asia
678,27.7,3870000,Asia
681,27.6,3890000,Asia
683,27.6,3910000,Asia
685,27.6,3920000,Asia
688,27.6,3940000,Asia
690,27.6,3960000,Asia
692,27.6,3970000,Asia
695,27.6,3990000,Asia
697,27.6,4010000,Asia
699,27.6,4030000,Asia
702,27.6,4050000,Asia
704,27.5,4070000,Asia
707,27.5,4080000,Asia
709,27.5,4110000,Asia
711,27.5,4130000,Asia
714,27.5,4150000,Asia
716,27.5,4170000,Asia
719,27.6,4190000,Asia
721,27.6,4220000,Asia
724,27.7,4240000,Asia
726,27.7,4260000,Asia
729,27.8,4290000,Asia
731,27.8,4310000,Asia
734,27.9,4340000,Asia
736,28,4360000,Asia
739,28,4390000,Asia
741,28.1,4420000,Asia
744,28.1,4450000,Asia
746,28.2,4480000,Asia
749,28.2,4500000,Asia
751,28.3,4530000,Asia
754,28.4,4560000,Asia
756,28.4,4590000,Asia
759,28.5,4620000,Asia
761,28.5,4650000,Asia
764,28.6,4680000,Asia
767,28.6,4710000,Asia
769,28.7,4740000,Asia
772,28.8,4770000,Asia
774,28.8,4800000,Asia
777,28.9,4830000,Asia
780,28.9,4860000,Asia
782,29,4890000,Asia
785,29.1,4930000,Asia
788,29.1,4960000,Asia
790,29.2,4990000,Asia
793,29.2,5020000,Asia
796,29.3,5050000,Asia
798,29.3,5090000,Asia
801,29.4,5120000,Asia
804,29.4,5150000,Asia
807,29.5,5180000,Asia
809,29.6,5220000,Asia
812,29.6,5250000,Asia
815,29.7,5280000,Asia
818,29.7,5320000,Asia
820,29.8,5350000,Asia
823,29.8,5390000,Asia
826,29.9,5420000,Asia
829,29.9,5460000,Asia
833,30,5500000,Asia
837,30.1,5550000,Asia
841,30.1,5600000,Asia
845,30.2,5650000,Asia
849,7.89,5700000,Asia
853,30.3,5760000,Asia
857,30.3,5810000,Asia
863,30.4,5870000,Asia
868,30.4,5930000,Asia
874,30.5,5980000,Asia
880,30.6,6040000,Asia
885,30.6,6100000,Asia
891,30.7,6160000,Asia
897,30.7,6210000,Asia
903,30.8,6270000,Asia
909,30.8,6330000,Asia
915,30.9,6390000,Asia
921,30.9,6460000,Asia
927,31,6520000,Asia
933,31.1,6580000,Asia
939,31.1,6640000,Asia
945,31.2,6710000,Asia
951,31.2,6770000,Asia
957,31.3,6840000,Asia
963,31.3,6900000,Asia
969,31.4,6970000,Asia
976,31.4,7030000,Asia
982,31.5,7100000,Asia
988,31.6,7170000,Asia
