dc_key,race,sex,fatal,date,has_court_case,age,street_name,block_number,zip_code,council_district,police_district,neighborhood,house_district,senate_district,school_catchment,lng,lat
2.02422E+11,Black (Non-Hispanic),Female,Nonfatal,3/3/2024 14:49,No,20,N COLORADO ST,2500,19132,5,22,Sharswood-Stanton,181,3,Tanner G. Duckrey School,-75.160603,39.991663999999986
2.02426E+11,Hispanic (Black or White),Male,Nonfatal,3/1/2024 22:18,No,58,N FRANKLIN ST,2600,19133,5,26,Northern Liberties-West Kensington,197,3,John F. Hartranft School,-75.14468,39.99152300000001
2.02422E+11,Black (Non-Hispanic),Male,Fatal,2/29/2024 22:59,No,49,MOUNT PLEASANT DR,3700,19121,4,22,Park,190,7,James G. Blaine School,-75.200269,39.984621
2.02422E+11,Black (Non-Hispanic),Female,Fatal,2/29/2024 22:59,No,38,MOUNT PLEASANT DR,3700,19121,4,22,Park,190,7,James G. Blaine School,-75.200269,39.984621
2.02419E+11,Black (Non-Hispanic),Male,Nonfatal,2/29/2024 19:30,No,19,MASTER ST,5600,19131,4,19,Haddington-Overbrook,192,7,Universal Charter School at Bluford,-75.233379,39.97346399999999
2.02439E+11,Black (Non-Hispanic),Male,Fatal,2/29/2024 1:53,No,31,PULASKI AVE,5500,19144,8,39,East Falls-Westside,198,3,John B. Kelly School,-75.178989,40.02938700000001
Neighborhood,Black (Non-Hispanic),Male,Nonfatal,2/28/2024 22:24,No,29,WOODLAND AVE,6400,19142,2,12,Paschall-Kingsessing,191,8,Joseph W. Catharine School,-75.233287,39.926399
2.02416E+11,Black (Non-Hispanic),Male,Nonfatal,2/28/2024 21:44,No,38,LANCASTER AVE,4200,19104,3,16,Mill Creek-Parkside,190,7,Martha Washington School,-75.209012,39.96721300000001
2.02416E+11,Black (Non-Hispanic),Male,Fatal,2/28/2024 21:44,No,44,LANCASTER AVE,4200,19104,3,16,Mill Creek-Parkside,190,7,Martha Washington School,-75.209012,39.96721300000001
2.02416E+11,Black (Non-Hispanic),Female,Nonfatal,2/28/2024 21:44,No,44,LANCASTER AVE,4200,19104,3,16,Mill Creek-Parkside,190,7,Martha Washington School,-75.209115,39.967115
2.02422E+11,Black (Non-Hispanic),Male,Nonfatal,2/28/2024 3:24,No,32,N 19TH ST,2400,19132,5,22,Strawberry Mansion,181,3,William Dick School,-75.163543,39.990495000000024
2.02403E+11,Asian,Female,Fatal,2/27/2024 18:55,Yes,31,S MARSHALL ST,2300,19148,1,3,Snyder-Whitman,184,1,Francis S. Key School,-75.157934,39.919376999999976
2.02439E+11,Black (Non-Hispanic),Male,Nonfatal,2/27/2024 16:34,No,18,W VENANGO ST,2000,19140,8,39,Nicetown-Tioga,198,3,Mastery Charter School at Cleveland,-75.161294,40.008888000000006
2.02435E+11,Black (Non-Hispanic),Male,Nonfatal,2/27/2024 1:27,No,36,N 5TH ST,5400,19120,9,35,Olney-Feltonville,179,3,Thurgood Marshall School,-75.131237,40.03352399999999
2.02422E+11,Black (Non-Hispanic),Male,Nonfatal,2/26/2024 21:45,No,21,W MONTGOMERY AVE,2700,19121,5,22,Strawberry Mansion,195,3,William D. Kelley School,-75.178601,39.98292399999999
2.02422E+11,Black (Non-Hispanic),Male,Nonfatal,2/26/2024 21:45,No,29,W MONTGOMERY AVE,2700,19121,5,22,Strawberry Mansion,195,3,William D. Kelley School,-75.178601,39.98292399999999
2.02422E+11,Black (Non-Hispanic),Male,Nonfatal,2/26/2024 21:45,No,28,W MONTGOMERY AVE,2700,19121,5,22,Strawberry Mansion,195,3,William D. Kelley School,-75.178601,39.98292399999999
2.02419E+11,Black (Non-Hispanic),Male,Nonfatal,2/26/2024 21:24,No,14,MARKET ST,5900,19139,3,18,Cobbs Creek,191,8,John Barry School,-75.23893,39.96168
2.02439E+11,Black (Non-Hispanic),Male,Nonfatal,2/26/2024 5:34,No,25,N 16TH ST,3900,19140,8,39,Nicetown-Tioga,198,3,Mastery Charter School at Cleveland,-75.153812,40.01284600000002
2.02435E+11,Black (Non-Hispanic),Male,Fatal,2/26/2024 0:17,No,38,WAGNER AVE,1000,19141,9,35,Logan,201,3,Lindley Academy Charter at Birney,-75.140565,40.03369500000001
2.02414E+11,Black (Non-Hispanic),Male,Nonfatal,2/25/2024 18:04,Yes,41,E MOUNT AIRY AVE,600,19119,8,14,East Mt. Airy,200,4,Henry H. Houston School,-75.182918,40.06778099999999
2.02435E+11,Black (Non-Hispanic),Male,Nonfatal,2/25/2024 17:30,No,19,W ALBANUS ST,300,19120,8,35,Olney-Feltonville,179,3,Andrew J. Morrison School,-75.130235,40.026393000000006
2.02435E+11,Black (Non-Hispanic),Male,Nonfatal,2/25/2024 0:42,No,23,N 5TH ST,5900,19120,9,35,Olney-Feltonville,179,3,James R. Lowell School,-75.129218,40.041912000000025
