"","year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode","party_participation"
"1",2000,"SOUTH CAROLINA","SC","ABBEVILLE",45001,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",4450,8374,20191203,"TOTAL",53.1406735132553
"2",2004,"SOUTH CAROLINA","SC","ABBEVILLE",45001,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",5436,9925,20191203,"TOTAL",54.7707808564232
"3",2008,"SOUTH CAROLINA","SC","ABBEVILLE",45001,"PRESIDENT","JOHN MCCAIN","REPUBLICAN",6264,11001,20191203,"TOTAL",56.9402781565312
"4",2012,"SOUTH CAROLINA","SC","ABBEVILLE",45001,"PRESIDENT","MITT ROMNEY","REPUBLICAN",5981,10671,20191203,"TOTAL",56.049105051073
"5",2016,"SOUTH CAROLINA","SC","ABBEVILLE",45001,"PRESIDENT","DONALD TRUMP","REPUBLICAN",6763,10775,20191203,"TOTAL",62.7656612529002
"6",2020,"SOUTH CAROLINA","SC","ABBEVILLE",45001,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",4306,12433,20210622,"ELECTION DAY",34.6336362905172
"7",2000,"LOUISIANA","LA","ACADIA",22001,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",13814,23238,20191203,"TOTAL",59.4457354333419
"8",2004,"LOUISIANA","LA","ACADIA",22001,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",16083,25230,20191203,"TOTAL",63.7455410225922
"9",2008,"LOUISIANA","LA","ACADIA",22001,"PRESIDENT","JOHN MCCAIN","REPUBLICAN",19228,26710,20191203,"TOTAL",71.9880194683639
"10",2012,"LOUISIANA","LA","ACADIA",22001,"PRESIDENT","MITT ROMNEY","REPUBLICAN",19931,26835,20191203,"TOTAL",74.2724054406559
"11",2016,"LOUISIANA","LA","ACADIA",22001,"PRESIDENT","DONALD TRUMP","REPUBLICAN",21162,27389,20191203,"TOTAL",77.2645952754756
"12",2020,"LOUISIANA","LA","ACADIA",22001,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",22596,28425,20210622,"TOTAL",79.4934036939314
"13",2000,"VIRGINIA","VA","ACCOMACK",51001,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",6352,11925,20191203,"TOTAL",53.2662473794549
"14",2004,"VIRGINIA","VA","ACCOMACK",51001,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",7726,13356,20191203,"TOTAL",57.8466606768494
"15",2008,"VIRGINIA","VA","ACCOMACK",51001,"PRESIDENT","JOHN MCCAIN","REPUBLICAN",7833,15623,20191203,"TOTAL",50.1376176150547
"16",2012,"VIRGINIA","VA","ACCOMACK",51001,"PRESIDENT","MITT ROMNEY","REPUBLICAN",8213,16051,20191203,"TOTAL",51.1681515170394
"17",2016,"VIRGINIA","VA","ACCOMACK",51001,"PRESIDENT","DONALD TRUMP","REPUBLICAN",8583,15818,20191203,"TOTAL",54.2609685168795
"18",2020,"VIRGINIA","VA","ACCOMACK",51001,"US PRESIDENT","DONALD J TRUMP","REPUBLICAN",6078,16962,20210622,"ELECTION DAY",35.833038556774
"19",2000,"IDAHO","ID","ADA",16001,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",75050,123485,20191203,"TOTAL",60.7766125440337
"20",2004,"IDAHO","ID","ADA",16001,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",94641,155002,20191203,"TOTAL",61.0579218332667
"21",2008,"IDAHO","ID","ADA",16001,"PRESIDENT","JOHN MCCAIN","REPUBLICAN",93328,179402,20191203,"TOTAL",52.0217165917883
"22",2012,"IDAHO","ID","ADA",16001,"PRESIDENT","MITT ROMNEY","REPUBLICAN",97554,180546,20191203,"TOTAL",54.0327672726064
"23",2016,"IDAHO","ID","ADA",16001,"PRESIDENT","DONALD TRUMP","REPUBLICAN",93752,195669,20191203,"TOTAL",47.9135683220132
"24",2020,"IDAHO","ID","ADA",16001,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",130699,259389,20210622,"TOTAL",50.3872562059301
"25",2000,"KENTUCKY","KY","ADAIR",21001,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",5460,7328,20191203,"TOTAL",74.5087336244542
"26",2004,"KENTUCKY","KY","ADAIR",21001,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",5628,7447,20191203,"TOTAL",75.5740566671143
"27",2008,"KENTUCKY","KY","ADAIR",21001,"PRESIDENT","JOHN MCCAIN","REPUBLICAN",5512,7298,20191203,"TOTAL",75.5275417922719
"28",2012,"KENTUCKY","KY","ADAIR",21001,"PRESIDENT","MITT ROMNEY","REPUBLICAN",5841,7600,20191203,"TOTAL",76.8552631578947
"29",2016,"KENTUCKY","KY","ADAIR",21001,"PRESIDENT","DONALD TRUMP","REPUBLICAN",6637,8233,20191203,"TOTAL",80.6145997813677
"30",2020,"KENTUCKY","KY","ADAIR",21001,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",7276,8763,20210622,"ELECTION DAY",83.0309254821408
