"","year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode","party_participation"
"1",2000,"ALABAMA","AL","MACON",1087,"PRESIDENT","AL GORE","DEMOCRAT",7665,8831,20191203,"TOTAL",86.7965122862643
"2",2004,"ALABAMA","AL","MACON",1087,"PRESIDENT","JOHN KERRY","DEMOCRAT",7800,9407,20191203,"TOTAL",82.9169767194642
"3",2008,"ALABAMA","AL","MACON",1087,"PRESIDENT","BARACK OBAMA","DEMOCRAT",9450,10877,20191203,"TOTAL",86.8805736875977
"4",2012,"ALABAMA","AL","MACON",1087,"PRESIDENT","BARACK OBAMA","DEMOCRAT",9045,10394,20191203,"TOTAL",87.0213584760439
"5",2016,"ALABAMA","AL","WINSTON",1133,"PRESIDENT","DONALD TRUMP","REPUBLICAN",9228,10313,20191203,"TOTAL",89.4792979734316
"6",2020,"ALABAMA","AL","WINSTON",1133,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",10195,11284,20210622,"TOTAL",90.3491669620702
"7",2000,"ALASKA","AK","DISTRICT 34",2034,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",5243,7154,20191203,"TOTAL",73.2876712328767
"8",2004,"ALASKA","AK","DISTRICT 11",2011,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",9280,13025,20191203,"TOTAL",71.2476007677543
"9",2008,"ALASKA","AK","DISTRICT 11",2011,"PRESIDENT","JOHN MCCAIN","REPUBLICAN",7736,9866,20191203,"TOTAL",78.4107034259072
"10",2012,"ALASKA","AK","DISTRICT 1",2001,"PRESIDENT","MITT ROMNEY","REPUBLICAN",5899,7722,20191203,"TOTAL",76.3921263921264
"11",2016,"ALASKA","AK","DISTRICT 8",2008,"PRESIDENT","DONALD TRUMP","REPUBLICAN",6126,8073,20191203,"TOTAL",75.8825715347455
"12",2020,"ALASKA","AK","DISTRICT 99",2099,"PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",373,433,20210622,"TOTAL",86.1431870669746
"13",2000,"ARIZONA","AZ","APACHE",4001,"PRESIDENT","AL GORE","DEMOCRAT",13025,19456,20191203,"TOTAL",66.9459292763158
"14",2004,"ARIZONA","AZ","GRAHAM",4009,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",7467,10720,20191203,"TOTAL",69.6548507462687
"15",2008,"ARIZONA","AZ","GRAHAM",4009,"PRESIDENT","JOHN MCCAIN","REPUBLICAN",8376,12007,20191203,"TOTAL",69.7593070708753
"16",2012,"ARIZONA","AZ","MOHAVE",4015,"PRESIDENT","MITT ROMNEY","REPUBLICAN",49168,70010,20191203,"TOTAL",70.2299671475504
"17",2016,"ARIZONA","AZ","MOHAVE",4015,"PRESIDENT","DONALD TRUMP","REPUBLICAN",58282,79943,20191203,"TOTAL",72.9044444166469
"18",2020,"ARIZONA","AZ","SANTA CRUZ",4023,"PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",10859,19556,20210622,"EARLY VOTE",55.5277152791982
"19",2000,"ARKANSAS","AR","LEE",5077,"PRESIDENT","AL GORE","DEMOCRAT",2727,4121,20191203,"TOTAL",66.1732589177384
"20",2004,"ARKANSAS","AR","BENTON",5007,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",46571,68121,20191203,"TOTAL",68.3651150159275
"21",2008,"ARKANSAS","AR","GRANT",5053,"PRESIDENT","JOHN MCCAIN","REPUBLICAN",5023,6793,20191203,"TOTAL",73.9437656411011
"22",2012,"ARKANSAS","AR","POLK",5113,"PRESIDENT","MITT ROMNEY","REPUBLICAN",5955,7726,20191203,"TOTAL",77.0774009836914
"23",2016,"ARKANSAS","AR","POLK",5113,"PRESIDENT","DONALD TRUMP","REPUBLICAN",6618,8231,20191203,"TOTAL",80.4033531770137
"24",2020,"ARKANSAS","AR","GREENE",5055,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",9917,16100,20210622,"EARLY VOTE",61.5962732919255
"25",2000,"CALIFORNIA","CA","SAN FRANCISCO",6075,"PRESIDENT","AL GORE","DEMOCRAT",241578,319786,20191203,"TOTAL",75.5436448124683
"26",2004,"CALIFORNIA","CA","SAN FRANCISCO",6075,"PRESIDENT","JOHN KERRY","DEMOCRAT",296772,355929,20191203,"TOTAL",83.3795504159537
"27",2008,"CALIFORNIA","CA","SAN FRANCISCO",6075,"PRESIDENT","BARACK OBAMA","DEMOCRAT",322220,382865,20191203,"TOTAL",84.1602131299544
"28",2012,"CALIFORNIA","CA","SAN FRANCISCO",6075,"PRESIDENT","BARACK OBAMA","DEMOCRAT",301723,361209,20191203,"TOTAL",83.5314180986631
"29",2016,"CALIFORNIA","CA","SAN FRANCISCO",6075,"PRESIDENT","HILLARY CLINTON","DEMOCRAT",345084,405792,20191203,"TOTAL",85.0396262124438
"30",2020,"CALIFORNIA","CA","SAN FRANCISCO",6075,"PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",378156,443553,20210622,"TOTAL",85.2561024274438
"31",2000,"COLORADO","CO","CHEYENNE",8017,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",957,1212,20191203,"TOTAL",78.960396039604
"32",2004,"COLORADO","CO","CHEYENNE",8017,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",923,1134,20191203,"TOTAL",81.3932980599647
"33",2008,"COLORADO","CO","CHEYENNE",8017,"PRESIDENT","JOHN MCCAIN","REPUBLICAN",890,1111,20191203,"TOTAL",80.1080108010801
"34",2012,"COLORADO","CO","KIOWA",8061,"PRESIDENT","MITT ROMNEY","REPUBLICAN",677,821,20191203,"TOTAL",82.4604141291108
"35",2016,"COLORADO","CO","KIOWA",8061,"PRESIDENT","DONALD TRUMP","REPUBLICAN",728,855,20191203,"TOTAL",85.1461988304094
"36",2020,"COLORADO","CO","KIOWA",8061,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",795,903,20210622,"TOTAL",88.0398671096346
"37",2000,"CONNECTICUT","CT","HARTFORD",9003,"PRESIDENT","AL GORE","DEMOCRAT",221167,367556,20191203,"TOTAL",60.1723274820708
"38",2004,"CONNECTICUT","CT","HARTFORD",9003,"PRESIDENT","JOHN KERRY","DEMOCRAT",229902,391808,20191203,"TOTAL",58.6772092453447
"39",2008,"CONNECTICUT","CT","HARTFORD",9003,"PRESIDENT","BARACK OBAMA","DEMOCRAT",268301,411785,20191203,"TOTAL",65.1556030452785
"40",2012,"CONNECTICUT","CT","HARTFORD",9003,"PRESIDENT","BARACK OBAMA","DEMOCRAT",244639,392240,20191203,"TOTAL",62.3697226188048
"41",2016,"CONNECTICUT","CT","HARTFORD",9003,"PRESIDENT","HILLARY CLINTON","DEMOCRAT",240403,406864,20191203,"TOTAL",59.0868201659523
"42",2020,"CONNECTICUT","CT","HARTFORD",9003,"PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",283368,449336,20210622,"TOTAL",63.0637206900849
"43",2000,"DELAWARE","DE","NEW CASTLE",10003,"PRESIDENT","AL GORE","DEMOCRAT",127539,212995,20191203,"TOTAL",59.8788703960187
"44",2004,"DELAWARE","DE","NEW CASTLE",10003,"PRESIDENT","JOHN KERRY","DEMOCRAT",146171,241444,20191203,"TOTAL",60.5403323337917
"45",2008,"DELAWARE","DE","NEW CASTLE",10003,"PRESIDENT","BARACK OBAMA","DEMOCRAT",178768,256417,20191203,"TOTAL",69.717686424847
"46",2012,"DELAWARE","DE","NEW CASTLE",10003,"PRESIDENT","BARACK OBAMA","DEMOCRAT",167082,252012,20191203,"TOTAL",66.2992238464835
"47",2016,"DELAWARE","DE","NEW CASTLE",10003,"PRESIDENT","HILLARY CLINTON","DEMOCRAT",162919,262391,20191203,"TOTAL",62.0901631534618
"48",2020,"DELAWARE","DE","NEW CASTLE",10003,"PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",195034,287633,20210622,"TOTAL",67.8065451460716
"49",2000,"DISTRICT OF COLUMBIA","DC","DISTRICT OF COLUMBIA",11001,"PRESIDENT","AL GORE","DEMOCRAT",171923,201894,20191203,"TOTAL",85.1550813793377
"50",2004,"DISTRICT OF COLUMBIA","DC","DISTRICT OF COLUMBIA",11001,"PRESIDENT","JOHN KERRY","DEMOCRAT",202970,227586,20191203,"TOTAL",89.1838689550324
"51",2008,"DISTRICT OF COLUMBIA","DC","DISTRICT OF COLUMBIA",11001,"PRESIDENT","BARACK OBAMA","DEMOCRAT",245800,265853,20191203,"TOTAL",92.4571097561434
"52",2012,"DISTRICT OF COLUMBIA","DC","DISTRICT OF COLUMBIA",11001,"PRESIDENT","BARACK OBAMA","DEMOCRAT",267070,293764,20191203,"TOTAL",90.9131139281872
"53",2016,"DISTRICT OF COLUMBIA","DC","DISTRICT OF COLUMBIA",11001,"PRESIDENT","HILLARY CLINTON","DEMOCRAT",282830,311268,20191203,"TOTAL",90.8638215299999
"54",2020,"DISTRICT OF COLUMBIA","DC","DISTRICT OF COLUMBIA",NA,"PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",317323,344356,20210622,"TOTAL",92.1496939214069
"55",2000,"FLORIDA","FL","OKALOOSA",12091,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",52093,70680,20191203,"TOTAL",73.7026032823996
"56",2004,"FLORIDA","FL","BAKER",12003,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",7738,9955,20191203,"TOTAL",77.7297840281266
"57",2008,"FLORIDA","FL","HOLMES",12059,"PRESIDENT","JOHN MCCAIN","REPUBLICAN",7033,8589,20191203,"TOTAL",81.88380486669
"58",2012,"FLORIDA","FL","HOLMES",12059,"PRESIDENT","MITT ROMNEY","REPUBLICAN",6919,8274,20191203,"TOTAL",83.6233985980179
"59",2016,"FLORIDA","FL","HOLMES",12059,"PRESIDENT","DONALD TRUMP","REPUBLICAN",7483,8514,20191203,"TOTAL",87.8905332393705
"60",2020,"FLORIDA","FL","HOLMES",12059,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",8080,9068,20210622,"TOTAL",89.1045434494927
"61",2000,"GEORGIA","GA","HANCOCK",13141,"PRESIDENT","AL GORE","DEMOCRAT",2414,3086,20191203,"TOTAL",78.2242384964355
"62",2004,"GEORGIA","GA","FORSYTH",13117,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",47267,56826,20191203,"TOTAL",83.1784746418893
"63",2008,"GEORGIA","GA","GLASCOCK",13125,"PRESIDENT","JOHN MCCAIN","REPUBLICAN",1202,1428,20191203,"TOTAL",84.1736694677871
"64",2012,"GEORGIA","GA","BANKS",13011,"PRESIDENT","MITT ROMNEY","REPUBLICAN",5354,6195,20191203,"TOTAL",86.4245359160613
